Genus_silva	Genus_ehomd	n_asvs
Veillonella	Porphyromonas	1
Veillonella	Pseudoleptotrichia	1
Veillonella	Segatella	1
Veillonella	Selenomonas	1
Vibrio	Fusobacterium	1
Vibrio	Kluyvera	1
Vicinamibacteraceae	Caulobacter	1
Vicingus	Pedobacter	1
Virgisporangium	Mycobacterium	1
Vogesella	Ralstonia	1
WD260	Pseudomonas	1
WN-HWB-116	Pseudomonas	1
WPS-2	Selenomonas	1
WWH38	Neisseria	1
WX65	Dialister	1
WX65	Peptococcus	1
Weissella	Alloprevotella	1
Weissella	Lentilactobacillus	1
Weissella	Limosilactobacillus	1
Wenxinia	Haematobacter	1
Woeseia	Aggregatibacter	1
Xylophilus	Variovorax	1
YC-ZSS-LKJ147	Desulfovibrio	1
Yoonia-Loktanella	Haematobacter	1
ZOR0006	Gemella	1
Zeaxanthinibacter	Chryseobacterium	1
Zhongshania	Pseudomonas	1
[Anaerorhabdus]_furcosa_group	Solobacterium	1
[Clostridium]_innocuum_group	Erysipelotrichaceae [G1]	1
[Eubacterium]_brachy_group	Anaerovoracaceae [G4]	1
[Eubacterium]_coprostanoligenes_group	Ruminococcaceae [G2]	1
[Eubacterium]_coprostanoligenes_group	Ruminococcaceae [G3]	1
[Eubacterium]_hallii_group	Catonella	1
[Eubacterium]_nodatum_group	Anaerovoracaceae [G4]	1
[Eubacterium]_nodatum_group	Porphyromonas	1
[Eubacterium]_oxidoreducens_group	Fastidiosipila	1
[Eubacterium]_oxidoreducens_group	Lachnospiraceae [G2]	1
[Eubacterium]_oxidoreducens_group	Stomatobaculum	1
[Eubacterium]_ventriosum_group	Lachnospiraceae [G7]	1
[Ruminococcus]_gauvreauii_group	Lachnospiraceae [G2]	1
[Ruminococcus]_gauvreauii_group	Oribacterium	1
[Ruminococcus]_torques_group	Lachnospiraceae [G2]	1
bacteriap25	Alloprevotella	1
bacteriap25	Aquamicrobium	1
bacteriap25	Neisseria	1
koll11	Treponema	1
mle1-27	Bdellovibrio	1
mle1-27	Fusobacterium	1
mle1-7	Ralstonia	1
mle1-7	Schlegelella	1
oc32	Schlegelella	1
uncultured	Abiotrophia	1
uncultured	Anaerolinea	1
uncultured	Anaerovoracaceae [G1]	1
uncultured	Anoxybacillus	1
uncultured	Aquamicrobium	1
uncultured	Arcanobacterium	1
uncultured	Bacillus	1
uncultured	Bifidobacterium	1
uncultured	Bordetella	1
uncultured	Capnocytophaga	1
uncultured	Corynebacterium	1
uncultured	Dialister	1
uncultured	Ignavibacterium	1
uncultured	Johnsonella	1
uncultured	Limosilactobacillus	1
uncultured	Lysinibacillus	1
uncultured	Mogibacterium	1
uncultured	Moryella	1
uncultured	Neisseria	1
uncultured	Ottowia	1
uncultured	Peptostreptococcus	1
uncultured	Ruminococcaceae [G1]	1
uncultured	Tannerella	1
uncultured	Weeksellaceae [G1]	1
