Genus_silva	Genus_ehomd	n_asvs
Intestinimonas	Ruminococcaceae [G3]	6
Limibaculum	Haematobacter	6
MB-A2-108	Lancefieldella	6
MND1	Schlegelella	6
Methylophaga	Pseudomonas	6
Methylotenera	Kingella	6
Microvirga	Afipia	6
PHOS-HE36	Ignavibacterium	6
Paraprevotella	Alloprevotella	6
Phascolarctobacterium	Selenomonas	6
Prevotellaceae_UCG-001	Prevotella	6
Psychrobacter	Moraxella	6
Quadrisphaera	Kocuria	6
Ramlibacter	Paenacidovorax	6
SJA-15	Caldilinea	6
SWB02	Caulobacter	6
Simonsiella	Neisseria	6
Streptobacillus	Leptotrichia	6
UCG-009	Ruminococcaceae [G3]	6
W5053	Peptoniphilaceae [G1]	6
Zoogloea	Oryzomicrobium	6
[Eubacterium]_coprostanoligenes_group	Clostridiales [F3 G1]	6
[Eubacterium]_coprostanoligenes_group	Selenomonas	6
[Eubacterium]_eligens_group	Butyrivibrio	6
uncultured	Anaerovoracaceae [G2]	6
uncultured	Campylobacter	6
uncultured	Paenibacillus	6
uncultured	Porphyromonas	6
uncultured	Prevotella	6
67-14	Anaerovoracaceae [G2]	5
ASF356	Anaerovoracaceae [G3]	5
Acidovorax	Paenacidovorax	5
Adlercreutzia	Eggerthella	5
Anaerovibrio	Selenomonas	5
Aquabacterium	Leptothrix	5
Azospira	Oryzomicrobium	5
Blfdi19	Erythrobacter	5
C1-B045	Pseudomonas	5
Candidatus_Arthromitus	Clostridiales [F3 G1]	5
Cetobacterium	Fusobacterium	5
Clostridium_sensu_stricto_8	Clostridiales [F3 G1]	5
Coprococcus	Agathobacter	5
Edaphobaculum	Flavitalea	5
Enhydrobacter	Moraxella	5
GCA-900066575	Lachnospiraceae [G2]	5
Holdemanella	Erysipelotrichaceae [G1]	5
IS-44	Oryzomicrobium	5
Lachnospiraceae_AC2044_group	Lachnospiraceae [G2]	5
Lachnospiraceae_NK4A136_group	Butyrivibrio	5
Lachnospiraceae_NK4A136_group	Johnsonella	5
Lechevalieria	Kocuria	5
Litorilinea	Caldilinea	5
Megamonas	Selenomonas	5
Methyloceanibacter	Haematobacter	5
Nitrosomonas	Oryzomicrobium	5
Ochrobactrum	Brucella	5
P3OB-42	Desulfomicrobium	5
Psychrobacillus	Enterococcus	5
Puia	Segetibacter	5
Rheinheimera	Serratia	5
Rhodocytophaga	Pedobacter	5
Rs-E47_termite_group	Pedobacter	5
Rubellimicrobium	Haematobacter	5
SAR202_clade	Clostridiales [F3 G1]	5
Sediminicola	Capnocytophaga	5
Streptomyces	Actinomyces	5
Suttonella	Cardiobacterium	5
TM7a	Nanosynbacter	5
Thauera	Oryzomicrobium	5
Turicibacter	Gemella	5
Tuzzerella	Anaerovoracaceae [G3]	5
UCG-005	Fastidiosipila	5
[Eubacterium]_xylanophilum_group	Lachnospiraceae [G2]	5
dgA-11_gut_group	Odoribacteraceae [G3]	5
uncultured	Peptococcus	5
0319-7L14	Kocuria	4
Adhaeribacter	Flavitalea	4
Aerococcus	Abiotrophia	4
Algoriphagus	Flavitalea	4
Bauldia	Afipia	4
Bilophila	Desulfovibrio	4
Blautia	Butyrivibrio	4
Bryobacter	Anaerovoracaceae [G2]	4
CCD24	Cardiobacterium	4
CL500-29_marine_group	Propionibacteriaceae [G1]	4
Candidatus_Berkiella	Pseudomonas	4
