feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
g__Anaerovoracaceae..G5.	group	GERD	-0.614789130543509	0.822623380559204	26	6	0.462111213071241	0.906914482027349	Ziganshina_2020	GERD
g__Ottowia	group	GERD	0.152018365404747	0.189156405390775	26	4	0.429479014075779	0.906914482027349	Ziganshina_2020	GERD
g__Eikenella	group	GERD	0.302651635717639	0.8261895418436	26	15	0.717334184341821	0.906914482027349	Ziganshina_2020	GERD
g__Kingella	group	GERD	-0.344269036345172	0.804190367699451	26	21	0.672399981350031	0.906914482027349	Ziganshina_2020	GERD
Unclassified_f__Neisseriaceae	group	GERD	-0.449609289260612	0.792288306036508	26	5	0.575657286443867	0.906914482027349	Ziganshina_2020	GERD
g__Neisseria	group	GERD	-0.811478331655616	0.846143486015437	26	26	0.347105362263906	0.906914482027349	Ziganshina_2020	GERD
g__Ralstonia	group	GERD	-0.20754412076906	0.196543808452583	26	3	0.301496852977999	0.906914482027349	Ziganshina_2020	GERD
g__Lautropia	group	GERD	0.279998468770973	0.701456952826145	26	21	0.693299922083974	0.906914482027349	Ziganshina_2020	GERD
g__Haemophilus	group	GERD	-0.26945035445632	0.428701215495619	26	26	0.535595096276791	0.906914482027349	Ziganshina_2020	GERD
g__Aggregatibacter	group	GERD	0.435057496578128	0.840233382754641	26	21	0.609350841471868	0.906914482027349	Ziganshina_2020	GERD
Unclassified_f__Pasteurellaceae	group	GERD	-0.33315796122083	0.526191897610625	26	4	0.532623630545487	0.906914482027349	Ziganshina_2020	GERD
g__Cardiobacterium	group	GERD	-1.01299679585135	0.746401798883387	26	23	0.187353342703669	0.906914482027349	Ziganshina_2020	GERD
Unclassified_NA.5	group	GERD	-0.22743319120542	0.20845348222216	26	3	0.286083694554972	0.906914482027349	Ziganshina_2020	GERD
g__Peptococcus	group	GERD	0.248425780048415	0.609283400423773	26	11	0.687083085337445	0.906914482027349	Ziganshina_2020	GERD
g__Campylobacter	group	GERD	-0.167752267020089	0.478110742164703	26	26	0.728750907797308	0.906914482027349	Ziganshina_2020	GERD
g__Fusobacterium	group	GERD	-0.340435113044207	0.485250656021411	26	26	0.489697974904767	0.906914482027349	Ziganshina_2020	GERD
g__Odoribacteraceae..G5.	group	GERD	-0.389049953100707	0.596774946247281	26	9	0.520647310563452	0.906914482027349	Ziganshina_2020	GERD
Unclassified_f__Odoribacteraceae	group	GERD	-0.808308150107046	0.67694080929549	26	8	0.244123193581888	0.906914482027349	Ziganshina_2020	GERD
g__Capnocytophaga	group	GERD	-1.0258715145997	0.642236477328908	26	25	0.12327378445304	0.906914482027349	Ziganshina_2020	GERD
g__Cloacibacterium	group	GERD	-1.03536855875238	1.08340399788223	26	9	0.348770619258177	0.906914482027349	Ziganshina_2020	GERD
g__Riemerella	group	GERD	-0.7479137078756	0.568044733723119	26	22	0.200392716141899	0.906914482027349	Ziganshina_2020	GERD
g__Weeksellaceae..G1.	group	GERD	-0.253710231501665	0.335887630253222	26	8	0.457392880135347	0.906914482027349	Ziganshina_2020	GERD
g__Porphyromonas	group	GERD	-1.13690369810152	0.618547670330737	26	26	0.0784696160700927	0.906914482027349	Ziganshina_2020	GERD
g__Paludibacteraceae..G1.	group	GERD	0.657019895155403	0.752818062576442	26	19	0.391449239678844	0.906914482027349	Ziganshina_2020	GERD
g__Tannerella	group	GERD	0.20019155295441	0.620802928637614	26	21	0.749887551483119	0.906914482027349	Ziganshina_2020	GERD
g__Phocaeicola	group	GERD	-0.191518462912862	0.209022509923747	26	3	0.368647362289629	0.906914482027349	Ziganshina_2020	GERD
g__Hoylesella	group	GERD	-0.61928210808838	0.546368573829061	26	25	0.268220791695371	0.906914482027349	Ziganshina_2020	GERD
