disease	feature	k	estimate	se	p	I2	padj
IBS-D	ILEUSYN-PWY	2	-0.05731233347049382	0.0352968542156427	0.10443482233283911	29.549943654667494	0.3989945776305905
IBS-D	PWY-5384	2	-0.32688375922569857	0.1961054964414368	0.09553884727971766	68.62920699875986	0.3989945776305905
IBS-D	PWY-5686	2	0.0699238491820359	0.042624250242543724	0.10090725994868514	53.80108671376348	0.3989945776305905
IBS-D	PWY-6387	2	0.0351949781750273	0.02163335476492943	0.10376154584136241	0	0.3989945776305905
IBS-D	PWY-7003	2	-0.9106960758257532	0.559453711113637	0.10356073224850387	62.37343104760254	0.3989945776305905
IBS-D	PWY0-42	2	-1.3640448307603095	0.8276465207927878	0.09933200362504674	58.655886688337056	0.3989945776305905
IBS-D	VALSYN-PWY	2	-0.05731233347049382	0.0352968542156427	0.10443482233283911	29.549943654667494	0.3989945776305905
IBS-D	CENTFERM-PWY	2	-1.364625353881752	0.8505288951484903	0.10861638173701836	84.92180398212454	0.4045960219703934
IBS-D	THRESYN-PWY	2	0.034372777778045135	0.02136788911523002	0.10769982700729654	15.61789475534818	0.4045960219703934
IBS-D	PWY-6590	2	-1.355391193243862	0.8486683066328025	0.11024787201835175	85.11109594263355	0.4056032822403558
IBS-D	PWY-7211	2	-0.08529460489910709	0.053722638561429115	0.11235768137414394	0	0.40832425670115724
IBS-D	HEXITOLDEGSUPER-PWY	2	-0.19476662353435015	0.12341405167644816	0.11452978056201275	21.764442192639795	0.411203308523853
IBS-D	GALLATE-DEGRADATION-I-PWY	2	-1.3021118289048506	0.858140144365202	0.12917455293159844	88.68145129125675	0.4374320087910947
IBS-D	METHYLGALLATE-DEGRADATION-PWY	2	-1.3020382611721733	0.8580832929802013	0.1291708192861233	88.68108435405122	0.4374320087910947
IBS-D	P184-PWY	2	-1.2649417501541054	0.827091814450244	0.1261690481094061	88.03240171316278	0.4374320087910947
IBS-D	POLYAMINSYN3-PWY	2	-0.7045976645084395	0.46137009029433546	0.12671491648378166	69.83000230316173	0.4374320087910947
IBS-D	PWY-6507	2	-0.28949107144784475	0.18793754768075163	0.12347315674430365	0	0.4374320087910947
IBS-D	PWY-6386	2	0.03255427245040817	0.02154538950174451	0.13079804249178417	0	0.4379529962084459
IBS-D	PWY-7315	2	-1.5137937147772846	1.0074289682073931	0.13293429729612152	51.68205959428222	0.44016022882493566
IBS-D	PWYG-321	2	-0.25540043025114684	0.17182557071691387	0.13717503917855628	58.710072384861704	0.449210567859448
IBS-D	BRANCHED-CHAIN-AA-SYN-PWY	2	-0.053670251101706506	0.03739743305112961	0.1512494999623852	43.856123267834526	0.4794930956254339
IBS-D	PWY-5088	2	-1.0606708265875138	0.7379737031590632	0.1506399956144402	58.07429853833649	0.4794930956254339
IBS-D	PWY-6163	2	0.046277486561129406	0.03207226907244329	0.14904504579543754	46.98423183067062	0.4794930956254339
IBS-D	PWY-6897	2	0.11521226716064868	0.08070625855361983	0.15342125343847668	58.957893202801046	0.4812582476280637
IBS-D	ASPASN-PWY	2	0.14572471187951844	0.10349571931013742	0.1591232333613365	90.91888114323339	0.4838645259354926
IBS-D	GLYCOCAT-PWY	2	0.13696462841903548	0.09676941706599604	0.1569597422669311	34.02774198603936	0.4838645259354926
IBS-D	PWY-5973	2	0.037806006521470654	0.026798415581103796	0.15831678212305134	57.03037767179247	0.4838645259354926
