feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	study	disease
PWY-3781	group	GERD	-0.342754185502343	0.543872339221697	26	26	0.534511704684183	0.90197076167089	Ziganshina_2020	GERD
PWY-5088	group	GERD	-0.409392013853022	0.456006562428828	26	26	0.37822315592364403	0.90197076167089	Ziganshina_2020	GERD
PWY-5097	group	GERD	0.0618527428935926	0.0352538339925246	26	26	0.0921066014838867	0.90197076167089	Ziganshina_2020	GERD
PWY-5101	group	GERD	0.105971446904654	0.0455881638688077	26	26	0.0288811240275047	0.90197076167089	Ziganshina_2020	GERD
PWY-5103	group	GERD	0.109251804482919	0.0477338367503743	26	26	0.0311929660261612	0.90197076167089	Ziganshina_2020	GERD
PWY-5104	group	GERD	0.0957947304470886	0.0563046837759039	26	26	0.101796975512632	0.90197076167089	Ziganshina_2020	GERD
PWY-5121	group	GERD	-0.0184839745337555	0.0435873041713028	26	26	0.675293271907002	0.90197076167089	Ziganshina_2020	GERD
PWY-5177	group	GERD	-0.518471062729711	0.474755803955464	26	26	0.28564013647536	0.90197076167089	Ziganshina_2020	GERD
PWY-5178	group	GERD	-0.229102099700079	0.204406942586594	26	3	0.273457551541058	0.90197076167089	Ziganshina_2020	GERD
PWY-5180	group	GERD	-0.190342145275356	0.412963570356554	26	4	0.649007426701393	0.90197076167089	Ziganshina_2020	GERD
PWY-5182	group	GERD	-0.190342145275356	0.412963570356554	26	4	0.649007426701393	0.90197076167089	Ziganshina_2020	GERD
PWY-5189	group	GERD	-0.0309539632077255	0.0565258170067205	26	26	0.589018433891636	0.90197076167089	Ziganshina_2020	GERD
PWY-5265	group	GERD	-1.28302452733997	0.760422757146213	26	10	0.104511317544539	0.90197076167089	Ziganshina_2020	GERD
PWY-5304	group	GERD	0.631457293927993	0.459297692958514	26	26	0.181884270111341	0.90197076167089	Ziganshina_2020	GERD
PWY-5345	group	GERD	-0.102676006101663	0.177981810752222	26	26	0.569385619863855	0.90197076167089	Ziganshina_2020	GERD
PWY-5347	group	GERD	0.0546476169517933	0.0616830232139695	26	26	0.384439675101794	0.90197076167089	Ziganshina_2020	GERD
