disease	feature	k	estimate	se	p	I2	padj
GERD	g__Moryella	4	0.04590399089172559	0.27784055982058115	0.868773164908525	2.013546642890828	0.9903035257113897
GERD	g__Nanoperiomorbus	3	-0.11352745961179599	0.4436312809977881	0.7980241995451175	43.0295684293891	0.9903035257113897
GERD	g__Nanosynbacter	4	0.21857471191715439	0.503670611593441	0.6643148737582302	66.01140981516494	0.9903035257113897
GERD	g__Nanosyncoccus	3	0.11388875770643758	0.4533833240570947	0.8016614170474157	57.111730913918045	0.9903035257113897
GERD	g__Odoribacteraceae..G3.	3	0.09939505849299272	0.2706249264469119	0.7134103486557922	0	0.9903035257113897
GERD	g__Olsenella	3	-0.02565969648486067	0.19724226156032712	0.8964934140084102	0	0.9903035257113897
GERD	g__Ottowia	3	0.03813911810296779	0.15777478501183065	0.808988304970513	0	0.9903035257113897
GERD	g__Paludibacteraceae..G1.	4	-0.05437335716782438	0.23453994043478318	0.816670178380622	10.905372880326212	0.9903035257113897
GERD	g__Parvimonas	4	0.037146105768270585	0.30279335281617387	0.9023620259987067	0	0.9903035257113897
GERD	g__Parvisynbacter	3	-0.04859919225309552	0.15862490204095914	0.7593167992789117	0	0.9903035257113897
GERD	g__Patescibacteria..C1.O1.F1.G1.	3	-0.00297275024225189	0.12867707422863614	0.9815685850599665	0	0.9903035257113897
GERD	g__Patescibacteria..C1.O1.F1.G2.	2	-0.049700761757646414	0.5118160380045031	0.9226416674726412	0	0.9903035257113897
GERD	g__Peptococcus	4	-0.13113276019835488	0.19896718179575604	0.5098525628511261	0	0.9903035257113897
GERD	g__Pseudoramibacter	2	0.022623832632532072	0.16476720407161338	0.8907874557749474	0	0.9903035257113897
GERD	g__Ralstonia	3	-0.07520736512565712	0.15425066166500123	0.6258573428700084	0	0.9903035257113897
GERD	g__Rothia	4	0.024494990535195507	0.5102362739616102	0.9617105424354805	83.93998367510176	0.9903035257113897
GERD	g__Ruminococcaceae..G2.	4	0.3007330093051285	0.45549320379051605	0.50910239566639	73.91716283203566	0.9903035257113897
GERD	g__Saccharimonas	3	-0.11675160561053978	0.3389070387010402	0.7304744431816453	0	0.9903035257113897
GERD	g__Schaalia	4	0.3653308217079542	0.48001159531757415	0.4466048102387035	79.94715144612594	0.9903035257113897
GERD	g__Selenomonadaceae..G1.	4	0.003983907662408991	0.19690596373371294	0.9838578705344727	0	0.9903035257113897
GERD	g__Slackia	2	0.013865640828630656	0.2108575999977511	0.9475702428642964	0	0.9903035257113897
GERD	g__Sneathia	4	-0.035973284846001215	0.23523475131678884	0.8784573854382897	0	0.9903035257113897
GERD	g__Solobacterium	4	-0.10354649951891143	0.28860178023463323	0.7197546132948011	57.5419132072472	0.9903035257113897
GERD	g__Stenotrophomonas	2	0.06339914345732306	0.353175174489039	0.8575357812487099	0	0.9903035257113897
GERD	g__Streptococcus	4	0.01227854272677454	0.24307532015319278	0.9597133308827546	75.124601002431	0.9903035257113897
GERD	g__Tannerella	4	0.07632736596992054	0.22402268000182782	0.7333198977447979	0	0.9903035257113897
GERD	g__Treponema	4	-0.18927932412633047	0.2812950328315671	0.5010201934812993	7.011949227875368	0.9903035257113897
IBS-D	g__Schaalia	2	6.946606729476001e-4	0.42429848277817045	0.9986937054907545	65.61243876084615	0.9986937054907545
