disease	feature	k	estimate	se	p	I2	padj
GERD	g__Catonella	4	-0.08659310125629635	0.36264826146745294	0.8112762876223814	61.47754097419856	0.9813332193134957
GERD	g__Centipeda	2	-0.08408775985564065	0.6390051101439415	0.8953072618865549	71.24832300224406	0.9813332193134957
GERD	g__Clostridia_UCG.014	4	-0.026710026784759894	0.25320609445368075	0.9159891483452747	16.83135896468672	0.9813332193134957
GERD	g__Clostridia_vadinBB60_group	3	-0.054237939916949085	0.15468931556492302	0.7258697051069988	0	0.9813332193134957
GERD	g__Comamonas	4	0.03648624725874708	0.13733815342859948	0.7904955007341414	0	0.9813332193134957
GERD	g__Corynebacterium	4	0.14556734767243018	0.2772357582356748	0.5995366160933715	0	0.9813332193134957
GERD	g__Cryptobacterium	2	0.0635780834948293	0.27256094437657336	0.8155580427220634	0	0.9813332193134957
GERD	g__Eikenella	3	-0.09743178075242068	0.31771854713726827	0.7591016732924949	0	0.9813332193134957
GERD	g__Enterococcus	2	0.4097359859502952	0.4909124697155102	0.40391951302741835	0	0.9813332193134957
GERD	g__Erysipelotrichaceae_UCG.006	3	-0.13488120350965002	0.18139918990862539	0.4571426370789137	0	0.9813332193134957
GERD	g__F0058	4	-0.018613481568988156	0.2176705968055561	0.9318542334657564	0	0.9813332193134957
GERD	g__Faecalibacterium	2	-0.22594308646167177	0.3538621818318496	0.523144422781454	0	0.9813332193134957
GERD	g__Family_XIII_UCG.001	2	-0.2636124258346087	0.41644185227652236	0.526726220597349	48.70762738941778	0.9813332193134957
GERD	g__Fusobacterium	4	0.11454049792990781	0.2325980856893844	0.622408642085047	0	0.9813332193134957
GERD	g__Gracilibacteria	2	-0.04924072768810332	0.5115729039272293	0.923319171026575	0	0.9813332193134957
GERD	g__Granulicatella	4	-0.06065075981662671	0.20938581787604638	0.7720761271623475	35.65167239157128	0.9813332193134957
GERD	g__Haemophilus	4	-0.32272274751049357	0.3092001923539209	0.296608483772924	36.51282332710758	0.9813332193134957
GERD	g__Johnsonella	4	-0.07912455565913479	0.252295404478387	0.7538106584085492	0	0.9813332193134957
